id,Type,StatUnmarrieds,City,State,PostalCode,GenderCode,BirthDate,MarriedaritalStatUnmarrieds,EnrolledDate,Living statUnmarrieds
00005DCC-4E51-41A5-91C5-6635B24C7D17,BUnmarriedsiness,InActive,,,500024,MALE,12-Aug-18,Unmarried,12-Aug-18,coUnmarriedple with children
0001F49E-9FE7-11e8-9E9C-00505682069A,Individual,Active,Valsad,GUJARAT,396001,MALE,2-Nov-92,Married,14-Aug-18,couple with children
0001F4A2-9FE7-11e8-9E9C-00505682069A,Individual,Active,Secunderabad,TELANGANA,500011,FEMALE,25-Nov-88,Married,14-Aug-18,couple with children
0001F4CD-9FE7-11e8-9E9C-00505682069A,Individual,Active,Nalgonda,TELANGANA,508101,MALE,13-Jun-83,Married,14-Aug-18,couple with children
0001F4DE-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500028,MALE,13-Jul-75,Married,14-Aug-18,couple with children
0001F51D-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500018,FEMALE,7-Aug-86,Married,14-Aug-18,couple with children
0001F536-9FE7-11e8-9E9C-00505682069A,Individual,Active,Nizamabad,TELANGANA,503114,MALE,20-May-97,Married,14-Aug-18,couple with children
0001F53D-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500081,MALE,26-Jun-82,Married,14-Aug-18,couple with children
0001F548-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500064,FEMALE,20-Jun-77,Married,14-Aug-18,couple with children
0001F549-9FE7-11e8-9E9C-00505682069A,Individual,Active,Guntur,ANDHRA PRADESH,522006,MALE,23-Jul-75,Married,14-Aug-18,couple with children
0001F556-9FE7-11e8-9E9C-00505682069A,Individual,Active,Barasat,WEST BENGAL,700124,FEMALE,14-Jul-66,Married,14-Aug-18,couple with children
0001F566-9FE7-11e8-9E9C-00505682069A,Individual,Active,Parganas,WEST BENGAL,700157,MALE,10-Aug-61,Married,14-Aug-18,couple with children
0001F572-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500013,FEMALE,4-Jan-90,Married,14-Aug-18,couple with children
0001F644-9FE7-11e8-9E9C-00505682069A,Individual,Active,Secunderabad,TELANGANA,500090,MALE,14-Nov-78,Married,15-Aug-18,couple with children
